Job Title,Company,Location,Employment Type,Skills,Experience_Level,Salary_USD,Date_Posted
Senior Cloud Engineer,Salesforce,"Chicago, IL",Contract,"Google Cloud, Kubernetes, DevOps, AWS",Lead,189245,9/11/2022
AWS Solutions Architect,Amazon,"San Francisco, CA",Full-time,"Terraform, Docker, Google Cloud, Java",Lead,156216,8/3/2019
Cloud Consultant,Adobe,"Austin, TX",Remote,"Python, Kubernetes, AWS",Lead,198572,7/3/2021
AWS Solutions Architect,Oracle,"New York, NY",Part-time,"AWS, DevOps, Kubernetes, Docker, CI/CD",Lead,193154,3/25/2024
DevOps Engineer,Salesforce,"San Francisco, CA",Remote,"Java, Terraform, Google Cloud, Kubernetes",Lead,142158,8/13/2020
Cloud Architect,Google,"San Francisco, CA",Contract,"AWS, Docker, Kubernetes, Java",Director,175704,1/1/2025
Senior Cloud Engineer,Amazon,"Austin, TX",Remote,"DevOps, Java, Kubernetes",Director,119200,3/2/2021
Cloud Consultant,IBM,"New York, NY",Part-time,"AWS, Docker, Terraform",Director,121182,5/4/2020
AWS Solutions Architect,Google,"San Francisco, CA",Full-time,"Docker, Azure, Python, DevOps, Terraform",Entry-level,105064,10/7/2024
Cloud Architect,IBM,"New York, NY",Full-time,"Docker, Kubernetes, Azure",Entry-level,187480,1/11/2023
Cloud Consultant,Salesforce,"Boston, MA",Remote,"AWS, Azure, DevOps",Lead,185551,11/7/2024
Senior Cloud Engineer,Cisco,"Seattle, WA",Contract,"Google Cloud, CI/CD, Terraform, Java, Kubernetes",Mid-level,190639,7/2/2023
Cloud Consultant,Cisco,"Seattle, WA",Contract,"Java, Docker, CI/CD, Google Cloud",Senior,137210,7/2/2024
Cloud Consultant,Oracle,"Austin, TX",Remote,"Google Cloud, Terraform, Java, Python",Entry-level,92886,2/7/2022
Senior Cloud Engineer,Oracle,"Boston, MA",Contract,"Terraform, AWS, CI/CD, Python, Java",Director,145558,9/25/2022
AWS Solutions Architect,Salesforce,"San Francisco, CA",Contract,"Azure, AWS, Docker, Java, Python",Senior,160159,9/24/2020
Cloud Consultant,Amazon,"Seattle, WA",Part-time,"Terraform, Docker, Java, Google Cloud, Azure",Lead,107983,1/29/2024
Cloud Consultant,Cisco,"Austin, TX",Part-time,"Azure, DevOps, Terraform",Senior,182025,8/15/2022
DevOps Engineer,Google,"Chicago, IL",Contract,"Terraform, AWS, Python, Java, Docker",Mid-level,192956,11/13/2023
Cloud Consultant,Microsoft,"Boston, MA",Contract,"Terraform, DevOps, Google Cloud",Lead,157876,4/27/2020
Senior Cloud Engineer,Salesforce,"New York, NY",Remote,"Azure, AWS, DevOps, Java",Director,96640,1/14/2024
Cloud Architect,Amazon,"New York, NY",Full-time,"Google Cloud, Terraform, DevOps",Lead,123313,11/16/2024
AWS Solutions Architect,Adobe,"San Francisco, CA",Part-time,"Java, Azure, Kubernetes, Docker, CI/CD",Mid-level,169275,8/16/2021
DevOps Engineer,Microsoft,"Boston, MA",Remote,"Docker, Azure, Google Cloud, AWS",Senior,183190,2/16/2025
Cloud Consultant,Amazon,"San Francisco, CA",Part-time,"Kubernetes, Terraform, Java, Python",Mid-level,100833,11/18/2020
DevOps Engineer,Accenture,"Austin, TX",Part-time,"Kubernetes, Java, Python, Azure, Google Cloud",Director,102607,2/8/2021
Cloud Architect,Amazon,"Austin, TX",Remote,"Terraform, Docker, DevOps, CI/CD",Director,111395,10/8/2022
DevOps Engineer,Adobe,"Chicago, IL",Full-time,"AWS, DevOps, Java, CI/CD",Director,148402,1/17/2023
Cloud Architect,Cisco,"Austin, TX",Contract,"Python, DevOps, CI/CD",Entry-level,141756,12/26/2019
Senior Cloud Engineer,Accenture,"Boston, MA",Full-time,"Python, CI/CD, Terraform, Docker",Lead,160257,1/20/2025
Senior Cloud Engineer,VMware,"San Francisco, CA",Remote,"Java, Azure, Kubernetes, Google Cloud, Python",Entry-level,157672,8/28/2024
AWS Solutions Architect,IBM,"Boston, MA",Full-time,"Python, Terraform, Kubernetes",Lead,116131,2/22/2021
Cloud Consultant,VMware,"Seattle, WA",Part-time,"Kubernetes, Python, Azure, DevOps",Mid-level,165596,12/1/2023
AWS Solutions Architect,Salesforce,"Chicago, IL",Contract,"Terraform, AWS, Docker",Senior,154208,11/1/2024
Senior Cloud Engineer,Accenture,"New York, NY",Remote,"CI/CD, AWS, Kubernetes, Java, Terraform",Entry-level,127983,8/5/2022
DevOps Engineer,Oracle,"Chicago, IL",Contract,"Java, AWS, DevOps, Google Cloud, Docker",Director,181119,5/19/2021
DevOps Engineer,Adobe,"Austin, TX",Remote,"Google Cloud, Kubernetes, AWS, Docker, CI/CD",Lead,178653,4/16/2019
Cloud Consultant,Microsoft,"Austin, TX",Remote,"Terraform, Kubernetes, DevOps, Google Cloud",Entry-level,178728,3/6/2025
DevOps Engineer,Salesforce,"Boston, MA",Contract,"Terraform, Azure, CI/CD, DevOps",Senior,134409,6/27/2024
Senior Cloud Engineer,VMware,"New York, NY",Part-time,"DevOps, Java, Google Cloud, Azure",Lead,159942,6/6/2019
Cloud Consultant,Cisco,"Boston, MA",Remote,"Java, Google Cloud, DevOps, CI/CD, Azure",Lead,165719,8/30/2024
Cloud Consultant,Google,"Seattle, WA",Contract,"Azure, Java, DevOps, Kubernetes",Director,102063,10/5/2020
Senior Cloud Engineer,Cisco,"Seattle, WA",Full-time,"Docker, Java, AWS",Lead,152076,9/20/2023
Senior Cloud Engineer,Google,"Boston, MA",Full-time,"Java, Python, AWS, Azure",Mid-level,121584,12/4/2021
DevOps Engineer,IBM,"New York, NY",Remote,"Kubernetes, Java, Terraform, DevOps",Lead,161302,5/30/2024
Senior Cloud Engineer,Oracle,"Boston, MA",Contract,"Java, Azure, DevOps, Terraform",Lead,147541,9/3/2019
Senior Cloud Engineer,IBM,"Boston, MA",Part-time,"Kubernetes, CI/CD, Azure, AWS, Google Cloud",Entry-level,188505,8/28/2021
DevOps Engineer,Adobe,"Chicago, IL",Full-time,"DevOps, Python, CI/CD, Google Cloud",Entry-level,171431,9/15/2020
DevOps Engineer,Microsoft,"Boston, MA",Full-time,"DevOps, Java, Python, Terraform",Senior,140407,5/20/2021
AWS Solutions Architect,Amazon,"Seattle, WA",Contract,"Terraform, Google Cloud, DevOps, Docker, Python",Director,198095,3/19/2024
DevOps Engineer,VMware,"Boston, MA",Part-time,"Google Cloud, CI/CD, DevOps, Python",Senior,118053,7/22/2021
Cloud Architect,Salesforce,"Austin, TX",Full-time,"Java, Terraform, AWS, Google Cloud",Entry-level,135110,8/23/2020
Cloud Architect,VMware,"San Francisco, CA",Full-time,"Docker, Azure, Kubernetes",Senior,141957,2/17/2023
AWS Solutions Architect,Salesforce,"New York, NY",Remote,"Docker, Kubernetes, Java, Python, Azure",Mid-level,152410,8/5/2019
Senior Cloud Engineer,Google,"Austin, TX",Part-time,"Java, Kubernetes, DevOps",Entry-level,115032,2/26/2024
Cloud Architect,Accenture,"Austin, TX",Part-time,"Kubernetes, CI/CD, Azure, Java",Lead,183953,2/10/2020
Cloud Architect,Microsoft,"Chicago, IL",Full-time,"Kubernetes, DevOps, AWS",Entry-level,184145,2/12/2020
Cloud Architect,Google,"New York, NY",Contract,"DevOps, CI/CD, Azure, Docker",Director,126055,5/15/2020
AWS Solutions Architect,Google,"New York, NY",Full-time,"Azure, DevOps, AWS, Terraform",Director,143944,9/6/2020
Cloud Consultant,IBM,"Austin, TX",Part-time,"CI/CD, Azure, Terraform",Senior,97526,1/18/2024
Cloud Architect,Cisco,"Seattle, WA",Contract,"Docker, Kubernetes, Google Cloud, CI/CD",Mid-level,116544,5/5/2023
Cloud Architect,Amazon,"Boston, MA",Full-time,"Terraform, Docker, Python",Entry-level,110206,6/8/2021
DevOps Engineer,Adobe,"New York, NY",Part-time,"Terraform, Google Cloud, Azure",Entry-level,121976,7/10/2023
DevOps Engineer,Salesforce,"Austin, TX",Full-time,"AWS, Java, Python",Mid-level,174641,10/21/2022
Cloud Consultant,Microsoft,"Seattle, WA",Remote,"Azure, Docker, Terraform, AWS, CI/CD",Mid-level,103593,12/9/2019
Cloud Architect,Cisco,"Seattle, WA",Part-time,"Kubernetes, Azure, Python",Mid-level,183289,12/4/2022
Senior Cloud Engineer,Microsoft,"New York, NY",Full-time,"AWS, DevOps, CI/CD, Kubernetes, Azure",Lead,134724,5/31/2019
Cloud Architect,IBM,"Chicago, IL",Part-time,"Terraform, Google Cloud, Kubernetes, Azure, Java",Mid-level,170812,1/21/2024
Cloud Architect,Salesforce,"Austin, TX",Full-time,"Terraform, AWS, DevOps",Lead,119577,6/6/2021
Cloud Architect,Cisco,"Austin, TX",Contract,"Terraform, Java, CI/CD",Senior,182754,2/28/2024
Cloud Architect,Microsoft,"Seattle, WA",Remote,"Azure, Kubernetes, Terraform, AWS, Python",Mid-level,143822,12/1/2023
DevOps Engineer,VMware,"San Francisco, CA",Remote,"Docker, AWS, Java, Terraform",Lead,166911,5/15/2024
DevOps Engineer,Accenture,"Boston, MA",Remote,"Kubernetes, Python, AWS, CI/CD",Entry-level,101913,4/7/2020
AWS Solutions Architect,Salesforce,"Chicago, IL",Part-time,"CI/CD, Terraform, Docker",Entry-level,128169,5/7/2021
AWS Solutions Architect,VMware,"Seattle, WA",Full-time,"CI/CD, Python, Kubernetes, Google Cloud",Mid-level,165467,8/20/2022
DevOps Engineer,Salesforce,"New York, NY",Part-time,"AWS, Azure, Python",Lead,126598,9/20/2020
Cloud Consultant,Adobe,"Chicago, IL",Remote,"Kubernetes, AWS, DevOps, Docker",Senior,102205,4/26/2020
Cloud Architect,VMware,"San Francisco, CA",Contract,"Azure, DevOps, CI/CD",Director,100316,5/18/2022
Cloud Consultant,Amazon,"Austin, TX",Contract,"Terraform, Azure, Java, Python",Entry-level,112177,3/19/2022
AWS Solutions Architect,Google,"Chicago, IL",Remote,"Java, DevOps, Terraform, Kubernetes, Google Cloud",Entry-level,173698,12/23/2021
Cloud Consultant,Accenture,"Chicago, IL",Contract,"CI/CD, DevOps, Java",Lead,174687,10/27/2019
Senior Cloud Engineer,Adobe,"New York, NY",Remote,"Python, CI/CD, Terraform, Kubernetes, Azure",Entry-level,146067,9/7/2024
Cloud Architect,Adobe,"Seattle, WA",Remote,"Google Cloud, Kubernetes, Java",Lead,106571,1/1/2021
Cloud Architect,Salesforce,"Austin, TX",Part-time,"Google Cloud, Docker, Python",Entry-level,199600,8/18/2020
Cloud Consultant,Google,"Seattle, WA",Contract,"Google Cloud, Kubernetes, Terraform, AWS",Mid-level,193765,11/22/2024
DevOps Engineer,Microsoft,"San Francisco, CA",Remote,"CI/CD, Azure, Python",Lead,99426,1/15/2024
Senior Cloud Engineer,Google,"New York, NY",Contract,"AWS, Java, Kubernetes, Python",Lead,106905,1/8/2025
AWS Solutions Architect,Oracle,"New York, NY",Full-time,"Docker, Terraform, CI/CD",Senior,140486,3/1/2023
Cloud Architect,IBM,"Seattle, WA",Remote,"Google Cloud, AWS, Terraform",Entry-level,121906,2/8/2024
AWS Solutions Architect,Adobe,"Chicago, IL",Part-time,"AWS, Terraform, Azure, DevOps, CI/CD",Director,134076,5/26/2023
Cloud Consultant,Adobe,"Boston, MA",Contract,"Google Cloud, DevOps, CI/CD",Entry-level,188448,8/12/2022
Cloud Architect,Google,"Chicago, IL",Remote,"AWS, Google Cloud, Kubernetes, Python",Entry-level,183487,4/17/2022
Cloud Consultant,Salesforce,"San Francisco, CA",Full-time,"Docker, Kubernetes, Java, Terraform",Mid-level,171136,4/15/2023
Cloud Consultant,Adobe,"San Francisco, CA",Contract,"AWS, Terraform, Azure, Python, CI/CD",Mid-level,180967,9/15/2022
AWS Solutions Architect,Salesforce,"New York, NY",Contract,"Java, Azure, Google Cloud, Terraform",Director,185602,1/31/2020
DevOps Engineer,Accenture,"Chicago, IL",Full-time,"Python, Kubernetes, CI/CD, Java",Director,192556,11/30/2019
Cloud Consultant,Amazon,"San Francisco, CA",Remote,"AWS, DevOps, Kubernetes, Terraform",Senior,93581,12/26/2023
AWS Solutions Architect,Microsoft,"Boston, MA",Full-time,"Azure, Terraform, Google Cloud",Director,170963,5/14/2019
Cloud Consultant,VMware,"New York, NY",Full-time,"Kubernetes, Google Cloud, AWS",Senior,126594,10/11/2021
Senior Cloud Engineer,Cisco,"Austin, TX",Part-time,"Java, Python, Azure, AWS",Senior,91889,3/1/2021
Senior Cloud Engineer,Google,"New York, NY",Full-time,"Azure, AWS, CI/CD, Google Cloud, Terraform",Senior,163932,12/31/2021
AWS Solutions Architect,IBM,"San Francisco, CA",Part-time,"CI/CD, Azure, AWS",Senior,105700,6/30/2020
Cloud Architect,Amazon,"Chicago, IL",Full-time,"Terraform, DevOps, CI/CD, AWS",Senior,93264,5/23/2023
Cloud Consultant,IBM,"New York, NY",Full-time,"DevOps, CI/CD, Docker, Python",Lead,170145,9/26/2023
DevOps Engineer,Accenture,"Chicago, IL",Full-time,"DevOps, Terraform, Azure, Java",Mid-level,134400,12/27/2020
Cloud Consultant,VMware,"Boston, MA",Contract,"Java, Azure, AWS, Terraform",Senior,161362,6/28/2024
Cloud Consultant,Oracle,"New York, NY",Part-time,"Java, Azure, Kubernetes",Lead,141440,11/16/2019
Cloud Architect,Accenture,"Chicago, IL",Full-time,"AWS, Terraform, DevOps, Google Cloud, Kubernetes",Director,94483,3/25/2022
AWS Solutions Architect,Adobe,"Boston, MA",Full-time,"Docker, Java, AWS, Google Cloud, Azure",Mid-level,170426,10/3/2021
Cloud Consultant,Google,"Boston, MA",Full-time,"Python, Google Cloud, CI/CD, Docker",Director,194056,7/25/2019
Senior Cloud Engineer,Adobe,"San Francisco, CA",Remote,"DevOps, Java, Python",Senior,178382,3/25/2022
Senior Cloud Engineer,Microsoft,"Seattle, WA",Contract,"Kubernetes, CI/CD, Terraform, Google Cloud",Mid-level,158342,8/17/2019
Cloud Consultant,Oracle,"New York, NY",Full-time,"DevOps, Azure, Google Cloud, Python",Lead,176221,8/12/2019
Cloud Consultant,Amazon,"San Francisco, CA",Remote,"DevOps, Azure, Java, Google Cloud, Terraform",Mid-level,192568,7/16/2022
DevOps Engineer,Salesforce,"San Francisco, CA",Part-time,"AWS, Docker, Java, CI/CD, Azure",Entry-level,140705,4/4/2022
Cloud Consultant,Microsoft,"San Francisco, CA",Contract,"Terraform, CI/CD, Kubernetes, DevOps",Mid-level,143617,5/22/2022
Senior Cloud Engineer,Accenture,"Austin, TX",Remote,"Google Cloud, Kubernetes, Python, Azure",Entry-level,128034,11/19/2020
Cloud Consultant,IBM,"New York, NY",Full-time,"DevOps, Google Cloud, Python",Lead,178423,9/11/2023
Senior Cloud Engineer,Accenture,"Seattle, WA",Contract,"Azure, Google Cloud, Docker",Lead,116968,12/2/2022
AWS Solutions Architect,Amazon,"Chicago, IL",Full-time,"Docker, CI/CD, Azure",Senior,183009,9/27/2021
DevOps Engineer,Google,"New York, NY",Part-time,"CI/CD, DevOps, Terraform, AWS, Python",Lead,173962,4/28/2021
Cloud Consultant,Cisco,"Seattle, WA",Full-time,"Python, Docker, Kubernetes, DevOps, AWS",Senior,161105,11/12/2023
Cloud Consultant,VMware,"Seattle, WA",Full-time,"CI/CD, Docker, DevOps",Entry-level,112746,6/21/2023
AWS Solutions Architect,VMware,"Seattle, WA",Contract,"Azure, DevOps, Terraform",Entry-level,138798,5/29/2020
Cloud Architect,Amazon,"New York, NY",Remote,"Docker, Google Cloud, Java, AWS, Azure",Entry-level,180679,5/4/2019
DevOps Engineer,Google,"Boston, MA",Contract,"Docker, CI/CD, Java, Terraform, Azure",Director,109864,1/15/2022
Senior Cloud Engineer,Amazon,"Chicago, IL",Remote,"DevOps, Python, Terraform, Kubernetes, Azure",Entry-level,178105,7/23/2020
AWS Solutions Architect,Cisco,"New York, NY",Full-time,"Terraform, Kubernetes, Python, Azure, Java",Mid-level,195046,12/21/2020
AWS Solutions Architect,Oracle,"San Francisco, CA",Part-time,"DevOps, Docker, Google Cloud",Mid-level,151193,4/19/2021
Senior Cloud Engineer,Salesforce,"Seattle, WA",Contract,"Azure, Python, Terraform, AWS, Docker",Director,102559,11/19/2021
DevOps Engineer,Salesforce,"Boston, MA",Remote,"CI/CD, Google Cloud, Terraform",Lead,100687,9/24/2022
Cloud Architect,VMware,"Chicago, IL",Remote,"Python, Google Cloud, Terraform, Kubernetes, AWS",Entry-level,153998,9/4/2021
Cloud Consultant,Microsoft,"San Francisco, CA",Part-time,"Python, AWS, Docker, Kubernetes, CI/CD",Entry-level,196294,5/12/2023
Senior Cloud Engineer,Adobe,"San Francisco, CA",Remote,"Google Cloud, AWS, Java, Terraform",Lead,119245,5/30/2023
Cloud Architect,VMware,"San Francisco, CA",Part-time,"Python, Docker, AWS, Terraform, CI/CD",Lead,178511,9/3/2019
Cloud Architect,IBM,"Seattle, WA",Full-time,"Java, DevOps, Terraform, Google Cloud, AWS",Senior,123136,6/28/2023
DevOps Engineer,Amazon,"Austin, TX",Remote,"DevOps, Docker, CI/CD, Java",Entry-level,97005,9/5/2023
Cloud Architect,Adobe,"Austin, TX",Contract,"Docker, Terraform, Python, DevOps, Java",Entry-level,187326,2/1/2020
AWS Solutions Architect,Amazon,"San Francisco, CA",Remote,"Google Cloud, Azure, Terraform",Senior,170773,8/11/2023
Senior Cloud Engineer,Adobe,"Austin, TX",Contract,"Kubernetes, Python, Java",Lead,164293,6/14/2024
Senior Cloud Engineer,VMware,"San Francisco, CA",Full-time,"Java, Python, Docker, AWS, Azure",Entry-level,155936,9/10/2021
Cloud Architect,VMware,"San Francisco, CA",Part-time,"Terraform, CI/CD, Google Cloud",Director,112397,9/9/2021
Cloud Consultant,Oracle,"Chicago, IL",Remote,"Google Cloud, Kubernetes, Java, CI/CD",Senior,188560,10/21/2021
Cloud Consultant,Microsoft,"Seattle, WA",Remote,"Python, Java, Azure, Kubernetes",Entry-level,173774,10/24/2021
DevOps Engineer,Microsoft,"Austin, TX",Full-time,"Google Cloud, CI/CD, DevOps, Python",Senior,130462,2/20/2023
DevOps Engineer,Oracle,"Seattle, WA",Remote,"DevOps, Python, Java, Google Cloud, Kubernetes",Entry-level,175012,2/2/2025
Cloud Consultant,Oracle,"San Francisco, CA",Remote,"Kubernetes, Java, Azure, Docker, CI/CD",Entry-level,116761,4/13/2021
AWS Solutions Architect,Oracle,"Chicago, IL",Part-time,"Java, Terraform, CI/CD, DevOps",Lead,144089,4/2/2022
Cloud Architect,Amazon,"Boston, MA",Part-time,"DevOps, AWS, Google Cloud",Director,158966,1/23/2021
Senior Cloud Engineer,Adobe,"New York, NY",Part-time,"Azure, Java, Terraform, Docker, Python",Senior,100900,11/14/2023
Cloud Consultant,Cisco,"New York, NY",Contract,"Python, Azure, Kubernetes",Entry-level,151956,2/13/2024
Cloud Consultant,Salesforce,"New York, NY",Full-time,"CI/CD, Terraform, AWS",Mid-level,119527,5/21/2020
Senior Cloud Engineer,Amazon,"New York, NY",Remote,"Python, AWS, Google Cloud, CI/CD",Director,129598,8/13/2024
Senior Cloud Engineer,Microsoft,"Austin, TX",Part-time,"CI/CD, Python, Docker",Mid-level,183690,6/18/2023
Cloud Architect,VMware,"San Francisco, CA",Full-time,"DevOps, Azure, AWS",Senior,121436,5/29/2024
Cloud Architect,Microsoft,"San Francisco, CA",Part-time,"CI/CD, DevOps, Terraform",Lead,95416,1/18/2024
Senior Cloud Engineer,Google,"Boston, MA",Part-time,"Azure, Terraform, DevOps",Director,107703,10/11/2024
Cloud Consultant,IBM,"Chicago, IL",Full-time,"Google Cloud, Azure, DevOps, Docker",Lead,159048,8/26/2019
Cloud Architect,Google,"Chicago, IL",Part-time,"Docker, Terraform, AWS",Lead,145008,12/28/2022
Cloud Architect,Google,"Austin, TX",Remote,"CI/CD, Kubernetes, Java",Lead,147580,1/4/2022
